instrument,locale,key,english,extracted,flags,status
F1,bcl,item:Q5_MONTHS_AT_FACILITY,"5. In your current position, how many months/years have you worked at this health facility? Number of Months","Sa saimong kasalukuyang posisyon, pira ka bulan/taon ka na ngtratrabaho digdi sa health facility na ini? Number of Years Pira ng taon Number of Months Pira ng bulan 6. How many years have you worked in health-related position? Pirang taon ka nang ngtratrabaho sa saimong health-related na position? Number of Years Pira ng taon Number of Months Pira ng bulan Next, we will be asking questions about this health facility. Masunod mga kahapotan manungod sa health facility. B. Facility Profile Profile kan Pasilidad","label-condensed,overlong-span,length-ratio",flagged
F1,bcl,val:Q8_SERVICE_LEVEL_VS1:1,Primary Care Facility,,empty,flagged
F1,bcl,val:Q8_SERVICE_LEVEL_VS1:2,Level 1 Hospital,,empty,flagged
F1,bcl,val:Q8_SERVICE_LEVEL_VS1:3,Level 2 Hospital,,empty,flagged
F1,bcl,val:Q8_SERVICE_LEVEL_VS1:4,Level 3 Hospital,"We will now ask about your awareness of UHC, the changes that have been implemented in this facility since the UHC Act was passed in 2019 and if these changes were a result of the UHC Act. An sunod na parte maghahapot ako manungod awareness sa UHC, sa mga posibleng pagbabago na naipatupad digdi sa pasilidad poon na naipasa an UHC Act kan 2019 asin kun ini bunga kan UHC Act. C. Universal Health Care (UHC) Implementation Implementasyon kan Universal Health Care (UHC)","overlong-span,length-ratio,digit-mismatch,glued-short-label",flagged
F1,bcl,item:Q10_1_UHC_ATTRIB_OTHER_TXT,"10.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q11_1_UHC_ATTRIB_OTHER_TXT,"11.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q12_1_UHC_ATTRIB_OTHER_TXT,"12.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,val:Q12_2_PHU_ROLE_VS1:1,Health promotion and education,,empty,flagged
F1,bcl,val:Q12_2_PHU_ROLE_VS1:2,Disease surveillance report,,empty,flagged
F1,bcl,val:Q12_2_PHU_ROLE_VS1:3,Referral and patient navigation,,empty,flagged
F1,bcl,val:Q12_2_PHU_ROLE_VS1:4,Alignment with national public health programs,,empty,flagged
F1,bcl,item:Q13_1_UHC_ATTRIB_OTHER_TXT,"13.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q14_1_UHC_ATTRIB_OTHER_TXT,"14.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q15_1_UHC_ATTRIB_OTHER_TXT,"15.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q16_1_UHC_ATTRIB_OTHER_TXT,"16.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q17_1_UHC_ATTRIB_OTHER_TXT,"17.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q18_1_UHC_ATTRIB_OTHER_TXT,"18.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q19_1_UHC_ATTRIB_OTHER_TXT,"19.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q20_1_UHC_ATTRIB_OTHER_TXT,"20.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q21_OTHER_TXT,21. Does your facility currently submit health and financial data to the DOH Information System and/or the PhilHealth Dashboard? — Other (specify) text,,label-condensed,flagged
F1,bcl,item:Q21_DATA_SUBMIT,21. Does your facility currently submit health and financial data to the DOH Information System and/or the PhilHealth Dashboard?,An saindong pasilidad ba ngunyan ngsusumitir nin regular na health asin financial na datos sa DOH Information System asin Philhealth Dashboard? BASAHON ASIN,truncated-tail,flagged
F1,bcl,vs:Q21_DATA_SUBMIT_VS1,21. Does your facility currently submit health and financial data to the DOH Information System and/or the PhilHealth Dashboard?,An saindong pasilidad ba ngunyan ngsusumitir nin regular na health asin financial na datos sa DOH Information System asin Philhealth Dashboard? BASAHON ASIN,truncated-tail,flagged
F1,bcl,item:Q23_DATA_REPORTS_USED,23. Which of the submitted reports are actually used for decision-making?,Arin sa mga tig sinumitir na report an totoong tigagamit sa pagdesisyon? BASAHON ASIN,truncated-tail,flagged
F1,bcl,vs:Q23_DATA_REPORTS_USED_VS1,23. Which of the submitted reports are actually used for decision-making?,Arin sa mga tig sinumitir na report an totoong tigagamit sa pagdesisyon? BASAHON ASIN,truncated-tail,flagged
F1,bcl,val:Q23_DATA_REPORTS_USED_VS1:01,OPD/IPD census and morbidity reports,,empty,flagged
F1,bcl,val:Q23_DATA_REPORTS_USED_VS1:02,"Maternal, newborn, child, and adolescent health (MNCAH) reports",,empty,flagged
F1,bcl,val:Q23_DATA_REPORTS_USED_VS1:03,Notifiable diseases / surveillance reports,,empty,flagged
F1,bcl,val:Q23_DATA_REPORTS_USED_VS1:04,Expenditure and budget utilization reports,,empty,flagged
F1,bcl,val:Q62_ENROLL_RESPONSIBILITY_VS1:05,PhilHealth,Philhealth,"english-own-match,echo-english",flagged
F1,bcl,val:Q23_DATA_REPORTS_USED_VS1:05,PhilHealth claims and reimbursement reports,,empty,flagged
F1,bcl,val:Q23_DATA_REPORTS_USED_VS1:06,YAKAP/Konsulta utilization reports,,empty,flagged
F1,bcl,val:Q23_DATA_REPORTS_USED_VS1:07,NBB compliance,,empty,flagged
F1,bcl,val:Q23_DATA_REPORTS_USED_VS1:08,ZBB compliance / monitoring reports,,empty,flagged
F1,bcl,val:Q23_DATA_REPORTS_USED_VS1:09,HRH staffing and deployment reports,,empty,flagged
F1,bcl,val:Q23_DATA_REPORTS_USED_VS1:10,Medicines availability and stock status reports,,empty,flagged
F1,bcl,val:Q23_DATA_REPORTS_USED_VS1:11,Facility performance scorecards / quality reports,,empty,flagged
F1,bcl,item:Q24_1_UHC_ATTRIB_OTHER_TXT,"24.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q25_1_UHC_ATTRIB_OTHER_TXT,"25.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q26_1_UHC_ATTRIB_OTHER_TXT,"26.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q27_1_UHC_ATTRIB_OTHER_TXT,"27.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q28_1_UHC_ATTRIB_OTHER_TXT,"28.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q29_1_UHC_ATTRIB_OTHER_TXT,"29.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q30_1_UHC_ATTRIB,"30.1. If yes, was it a result of the UHC Act enacted in 2019? (Under UHC, basic ward allocation is as follows: 90% for government general hospitals; 70% for government specialty hospitals, and 10% for private hospitals.)","Kun iyo, ano ang resulta kan 2019 UHC Act? (Under UHC, basic ward allocation is as follows: 90% for government general hospitals; 70% for government specialty hospitals, and 10% for private hospitals.)",label-condensed,flagged
F1,bcl,vs:Q30_1_UHC_ATTRIB_VS1,"30.1. If yes, was it a result of the UHC Act enacted in 2019? (Under UHC, basic ward allocation is as follows: 90% for government general hospitals; 70% for government specialty hospitals, and 10% for private hospitals.)","Kun iyo, ano ang resulta kan 2019 UHC Act? (Under UHC, basic ward allocation is as follows: 90% for government general hospitals; 70% for government specialty hospitals, and 10% for private hospitals.)",label-condensed,flagged
F1,bcl,item:Q31_1_UHC_ATTRIB_OTHER_TXT,"31.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q32_1_UHC_ATTRIB_OTHER_TXT,"32.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q33_1_UHC_ATTRIB_OTHER_TXT,"33.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q34_1_UHC_ATTRIB_OTHER_TXT,"34.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q35_1_UHC_ATTRIB_OTHER_TXT,"35.1. If yes, was it a result of the UHC Act enacted in 2019? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q35_2_PCQM_MEASURES_OTHER_TXT,"35.2. If yes, what are the primary care quality measures are you implementing? — Other (specify) text",,label-condensed,flagged
F1,bcl,val:Q35_2_PCQM_MEASURES_VS1:01,Patient or Client satisfaction survey,,empty,flagged
F1,bcl,val:Q35_2_PCQM_MEASURES_VS1:02,Patient Feedback and Complaints Management System,,empty,flagged
F1,bcl,val:Q35_2_PCQM_MEASURES_VS1:03,Patient Rights and Responsibilities Policy,,empty,flagged
F1,bcl,val:Q35_2_PCQM_MEASURES_VS1:04,Regular Quality or Management Review Meetings,,empty,flagged
F1,bcl,val:Q35_2_PCQM_MEASURES_VS1:05,Routine monitoring of quality/performance indicators,,empty,flagged
F1,bcl,val:Q35_2_PCQM_MEASURES_VS1:06,Quality Assurance Plan (QAP),,empty,flagged
F1,bcl,val:Q35_2_PCQM_MEASURES_VS1:07,Continuous Quality Improvement (CQI) Program,,empty,flagged
F1,bcl,val:Q35_2_PCQM_MEASURES_VS1:08,Staff Quality Improvement and Competency Training,,empty,flagged
F1,bcl,val:Q35_2_PCQM_MEASURES_VS1:09,Clinical audit or case review activities,,empty,flagged
F1,bcl,item:Q36_QUALITY_CHALL_OTHER_TXT,36. What are the major challenges to improving the quality of patient care in your local area? — Other (specify) text,,label-condensed,flagged
F1,bcl,item:Q36_QUALITY_CHALL,36. What are the major challenges to improving the quality of patient care in your local area?,Ano an mga major na hamon sa pagpapakarhay kan kalidad kan pag-alaga sa pasyente sa saindong lugar? Dae pagbasahon ki makusog,local-directive,flagged
F1,bcl,vs:Q36_QUALITY_CHALL_VS1,36. What are the major challenges to improving the quality of patient care in your local area?,Ano an mga major na hamon sa pagpapakarhay kan kalidad kan pag-alaga sa pasyente sa saindong lugar? Dae pagbasahon ki makusog,local-directive,flagged
F1,bcl,item:Q37_ACCESS_CHALL_OTHER_TXT,37. What are the major challenges to improving the accessibility of patient care in your local area? — Other (specify) text,,label-condensed,flagged
F1,bcl,item:Q37_ACCESS_CHALL,37. What are the major challenges to improving the accessibility of patient care in your local area?,Ano an mga major na hamon sa pagpapakarhay kan accessibilty kan pasyente dyan sa saindong lokasyon? Dae pagbasahon ki makusog,local-directive,flagged
F1,bcl,vs:Q37_ACCESS_CHALL_VS1,37. What are the major challenges to improving the accessibility of patient care in your local area?,Ano an mga major na hamon sa pagpapakarhay kan accessibilty kan pasyente dyan sa saindong lokasyon? Dae pagbasahon ki makusog,local-directive,flagged
F1,bcl,item:Q40_YK_PACKAGE_OTHER_TXT,"40. If accredited, which of the following are included in the YAKAP/Konsulta package? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q40_YK_PACKAGE,"40. If accredited, which of the following are included in the YAKAP/Konsulta package?","Kun iyo, arin sa mga masunod an kaiba sa YAKAP/Konsulta Package? Basahon an mga option",local-directive,flagged
F1,bcl,vs:Q40_YK_PACKAGE_VS1,"40. If accredited, which of the following are included in the YAKAP/Konsulta package?","Kun iyo, arin sa mga masunod an kaiba sa YAKAP/Konsulta Package? Basahon an mga option",local-directive,flagged
F1,bcl,val:Q40_YK_PACKAGE_VS1:01,Pap smear,,empty,flagged
F1,bcl,val:Q40_YK_PACKAGE_VS1:02,Mammogram,Mammogram,"english-own-match,echo-english",flagged
F1,bcl,val:Q40_YK_PACKAGE_VS1:04,Thyroid function test,,empty,flagged
F1,bcl,val:Q40_YK_PACKAGE_VS1:07,Dental services,"B. For the following diagnostic exams, what is your procurement cost, and what is the standard price charged to patients in your facility? (Note: Specify in Philippine pesos) Sa mga sumusunod na diagnostic exams, ano an saindong procurement cost asin an standard na presyong sinisingil sa mga pasyente sa saindong pasilidad?(Pakispecify sa Philippine Peso) Service Serbisyo Procurement Cost (in Philippine Peso) Standard Price Charged to Patients (in Philippine Peso) CBC with platelet count Urinalysis Fecalysis Sputum Microscopy Fecal Occult Blood","overlong-span,length-ratio,glued-short-label",flagged
F1,bcl,item:Q44_CAPITATION_AMT,"44. Based on your knowledge, what is the capitation amount of the YAKAP/Konsulta package?","Capitation is the amount per year per registered patient for delivering the YAKAP/Konsulta package services.) Base sa saimong kaaraman, ano an capitation amount kan YAKAP/Konsulta package? (Capitation ini an amount kada taon para sa pag rehistro kan pasyente para sa YAKAP/Konsulta package na mga serbisyo",english-furniture,flagged
F1,bcl,item:Q45_PERF_INDICATORS_OTHER_TXT,45. What are the performance indicators you need to meet to receive the second tranche payment? — Other (specify) text,,label-condensed,flagged
F1,bcl,item:Q45_PERF_INDICATORS,45. What are the performance indicators you need to meet to receive the second tranche payment?,Ano an mga performance indicators na dapat mong maabot para maresiba an ikaduwang tranche payment? Performance indicators are the defined set of healthcare goods and services to be provided for each enrolled patient to receive the full capitation payment. An performance indicators ay para sa mga healthcare goods asin serbisyo na provided sa kada pagrehistro kan pasyente para makaresiba ki bilog na capitation payment. Dai pagbasahon ki makusog,"overlong-span,length-ratio",flagged
F1,bcl,vs:Q45_PERF_INDICATORS_VS1,45. What are the performance indicators you need to meet to receive the second tranche payment?,Ano an mga performance indicators na dapat mong maabot para maresiba an ikaduwang tranche payment? Performance indicators are the defined set of healthcare goods and services to be provided for each enrolled patient to receive the full capitation payment. An performance indicators ay para sa mga healthcare goods asin serbisyo na provided sa kada pagrehistro kan pasyente para makaresiba ki bilog na capitation payment. Dai pagbasahon ki makusog,"overlong-span,length-ratio",flagged
F1,bcl,item:Q47_PAY_FREQ,47. How often should you be receiving payments?,Gaano kadalas ka dapat makaresiba nin bayad? Basahon an option,local-directive,flagged
F1,bcl,vs:Q47_PAY_FREQ_VS1,47. How often should you be receiving payments?,Gaano kadalas ka dapat makaresiba nin bayad? Basahon an option,local-directive,flagged
F1,bcl,item:Q49_TRANCHE_INTERVAL_NUM,"49. On average, how long is the typical time interval between tranches releases to the facility? — No. of Days",,label-condensed,flagged
F1,bcl,item:Q51_APPLY_REASON,51. Why did you apply to become a YAKAP/Konsulta provider?,Ngata ka nagapply kan YAKAP/Konsulta provider? Dae pagbasahon nin makusog,local-directive,flagged
F1,bcl,vs:Q51_APPLY_REASON_VS1,51. Why did you apply to become a YAKAP/Konsulta provider?,Ngata ka nagapply kan YAKAP/Konsulta provider? Dae pagbasahon nin makusog,local-directive,flagged
F1,bcl,val:Q52_ACCRED_DIFFICULT_VS1:07,Functional Health Information System,in Q65>,"length-ratio,starts-mid-english,routing-note",flagged
F1,bcl,item:Q62_ENROLL_RESPONSIBILITY_OTHER_TXT,"62. Based on your understanding, whose responsibility is it to enroll patients to YAKAP/Konsulta? — Other (specify) text",,label-condensed,flagged
F1,bcl,val:Q62_ENROLL_RESPONSIBILITY_VS1:03,LGU,LGU,"english-own-match,echo-english",flagged
F1,bcl,item:Q63_ENROLL_INITIATIVES_OTHER_TXT,63. Which of the following initiatives are you doing to enroll patients in this facility to YAKAP/Konsulta? — Other (specify) text,,label-condensed,flagged
F1,bcl,val:Q63_ENROLL_INITIATIVES_VS1:01,"On-site Enrollment (e.g., offering patient enrollment at the health facility)","On-site Enrollment (e.g., pag enroll digdi mismo sa pasilidad)",starts-mid-english,flagged
F1,bcl,val:Q63_ENROLL_INITIATIVES_VS1:04,"Barangay Health Workers (BHWs) Support (e.g., receiving support from local BHWs)",,empty,flagged
F1,bcl,val:Q65_ENROLL_CHALL_LIST_VS1:04,Competition with other health facilities over patient registration,Kompetensya manungos sa ibang health facility sagkod sa pagparehistro kan pasyente,glued-short-label,flagged
F1,bcl,item:Q75_IS_1700_ENOUGH,"75. The maximum per capita rate amount for YAKAP/Konsulta is at Php 1,700 across private and public facilities (40% after first patient encounter, 60% based on registered catchment population by December). Based on your practice, is this enough?","An maximum na per capita rate amount para sa YAKAP/Konsulta ay nasa Php 1,700 sa private asin public na mga pasilidad. Base sa Philheath 40% kan capitation amount ay mairelease sa first tranche after kan first patient encounter. Su natatadang 60% ay mairelease base sa size kan narehistrong catchment population kan December asin an performance target ay ngunyan na taon. Base sa saimong practice, sapat na ba iyan?",label-condensed,flagged
F1,bcl,vs:Q75_IS_1700_ENOUGH_VS1,"75. The maximum per capita rate amount for YAKAP/Konsulta is at Php 1,700 across private and public facilities (40% after first patient encounter, 60% based on registered catchment population by December). Based on your practice, is this enough?","An maximum na per capita rate amount para sa YAKAP/Konsulta ay nasa Php 1,700 sa private asin public na mga pasilidad. Base sa Philheath 40% kan capitation amount ay mairelease sa first tranche after kan first patient encounter. Su natatadang 60% ay mairelease base sa size kan narehistrong catchment population kan December asin an performance target ay ngunyan na taon. Base sa saimong practice, sapat na ba iyan?",label-condensed,flagged
F1,bcl,item:Q77_COSTING_VIABLE,"77. Did the costing exercise show that Php 1,700 was viable for your facility?",Sa iling mo tama ba an 1700 para maging viable sa pasilidad na an?,digit-mismatch,flagged
F1,bcl,vs:Q77_COSTING_VIABLE_VS1,"77. Did the costing exercise show that Php 1,700 was viable for your facility?",Sa iling mo tama ba an 1700 para maging viable sa pasilidad na an?,digit-mismatch,flagged
F1,bcl,item:Q81_CHARGE_ADDL_CAP_REASONS_OTHER_TXT,81. What is/are the reason/s for the facility to charge additional capitation fees? — Other (specify) text,,label-condensed,flagged
F1,bcl,item:Q86_EXPAND_NEXT_OTHER_TXT,"86. If you were to expand the YAKAP/Konsulta package, what would you expand next? — Other (specify) text",,label-condensed,flagged
F1,bcl,val:Q91_BUCAS_SERVICES_VS1:02,Minor surgical procedures,,empty,flagged
F1,bcl,item:Q92_BUCAS_FACTORS_OTHER_TXT,"92. In your assessment, what are the main factors affecting the utilization of BUCAS in your facility? — Other (specify) text",,label-condensed,flagged
F1,bcl,val:Q92_BUCAS_FACTORS_VS1:04,PhilHealth coverage and reimbursement,Philhealth coverage asin reimbursement,starts-with-english,flagged
F1,bcl,item:Q98_GAMOT_FACTORS_OTHER_TXT,"98. In your assessment, what are the main factors affecting the utilization of the GAMOT Program in your facility? — Other (specify) text",,label-condensed,flagged
F1,bcl,val:Q102_STOCKOUT_AVG_VS1:3,3-4 months,3-3 na bulan,digit-mismatch,flagged
F1,bcl,item:Q104_ADDR_STOCKOUT_HOW_OTHER_TXT,"104. If yes, what did you do to address the medicine stock-outs in the GAMOT Package? — Other (specify) text",,label-condensed,flagged
F1,bcl,val:Q106_LIC_RECEIVED_WHEN_VS1:3,Over 6 months but within 1 year,Lagpas anom na bulan hanggang 1 na taon,digit-mismatch,flagged
F1,bcl,val:Q108_DOH_LIC_DIFFICULT_VS1:04,Human resource management,on Q121>,"starts-mid-english,routing-note",flagged
F1,bcl,val:Q108_DOH_LIC_DIFFICULT_PCF_VS1:04,Human resource management,on Q121>,"starts-mid-english,routing-note",flagged
F1,bcl,val:Q108_DOH_LIC_DIFFICULT_HOSP_VS1:04,Human resource management,on Q121>,"starts-mid-english,routing-note",flagged
F1,bcl,val:Q108_DOH_LIC_DIFFICULT_VS1:05,Information management,on Q121>,"starts-mid-english,routing-note",flagged
F1,bcl,val:Q108_DOH_LIC_DIFFICULT_PCF_VS1:05,Information management,on Q121>,"starts-mid-english,routing-note",flagged
F1,bcl,val:Q108_DOH_LIC_DIFFICULT_HOSP_VS1:05,Information management,on Q121>,"starts-mid-english,routing-note",flagged
F1,bcl,val:Q108_DOH_LIC_DIFFICULT_VS1:08,Physical plant,on Q121>,"starts-mid-english,routing-note",flagged
F1,bcl,val:Q108_DOH_LIC_DIFFICULT_PCF_VS1:08,Physical plant,on Q121>,"starts-mid-english,routing-note",flagged
F1,bcl,val:Q108_DOH_LIC_DIFFICULT_HOSP_VS1:08,Physical plant,on Q121>,"starts-mid-english,routing-note",flagged
F1,bcl,val:Q53_WHY_DIFF_PREVENTIVE_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q54_WHY_DIFF_LAB_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q55_WHY_DIFF_MEDS_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q56_WHY_DIFF_INFRA_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q57_WHY_DIFF_EQUIPMENT_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q58_WHY_DIFF_HR_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q59_WHY_DIFF_HIS_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q60_WHY_DIFF_DOCS_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q61_WHY_DIFF_DOH_LIC_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q109_WHY_DIFF_PT_RIGHTS_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q110_WHY_DIFF_PT_CARE_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q111_WHY_DIFF_LEADERSHIP_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q112_WHY_DIFF_HRM_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q113_WHY_DIFF_INFO_MGMT_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q114_WHY_DIFF_SAFE_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q115_WHY_DIFF_PERF_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q116_WHY_DIFF_PHYS_PLANT_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q117_WHY_DIFF_PRICE_INFO_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q118_WHY_DIFF_EQUIPMENT_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q119_WHY_DIFF_NAT_LAWS_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q120_WHY_DIFF_EMERG_CART_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,val:Q121_WHY_DIFF_ADDONS_VS1:05,Compiling documentary requirements,Pagcompile kan mga,truncated-tail,flagged
F1,bcl,item:Q124_NBB_BARRIERS_OTHER_TXT,"124. In your view, what are some of the barriers to implementing NBB? — Other (specify) text",,label-condensed,flagged
F1,bcl,val:Q124_NBB_BARRIERS_VS1:04,Insufficient PhilHealth support value,and/or Kulang an PhilHealth support value,starts-mid-english,flagged
F1,bcl,val:Q127_ZBB_BARRIERS_VS1:04,Insufficient PhilHealth support value,and/or Kulang an PhilHealth support value,starts-mid-english,flagged
F1,bcl,item:Q127_ZBB_BARRIERS_OTHER_TXT,"127. In your view, what are some of the barriers to implementing ZBB? — Other (specify) text",,label-condensed,flagged
F1,bcl,item:Q129_OOP_REASON,129. Why does the facility allow OOP expenses for basic accommodation? Specify the reason.,your reason. Ngata ta tinutogutan kan pasilidad na ini an OOP expenses para sa basic accommodation? Ispecify an rason,label-condensed,flagged
F1,bcl,item:Q130_OTHER_TXT,130. Which of the UHC benefits do you find most difficult to implement? Other (specify),,label-condensed,flagged
F1,bcl,val:Q130_DIFFICULT_BENEFIT_VS1:1,PhilHealth/financial protection benefits,,empty,flagged
F1,bcl,val:Q130_DIFFICULT_BENEFIT_VS1:2,"Establishment of health care provider networks (HCPNs) (i.e., referral system)",,empty,flagged
